org1,org2,total,2008,2009,2010,2011,2012,2013
FMVS,FMVS,0.0205068587,0.0030478261,0.0032022874,0.0024994078,0.0038579459,0.0064679863,0.0021757942
REST,FSCI,0.0011362511,0.0002934128,0.0002461500,0.0003119692,0.0001718944,0.0001271253,0.0001196905
FMVS,REST,0.0001911828,0.0000000000,0.0000000000,0.0001029336,0.0000000000,0.0000000000,0.0000810220
FSCI,FSCI,0.0119575462,0.0016582238,0.0018902786,0.0015713073,0.0022683816,0.0022614798,0.0025567654
REST,FSSL,0.0006339506,0.0001615800,0.0000489356,0.0001243781,0.0000563222,0.0000000000,0.0002520648
FENG,FMVS,0.0011688484,0.0000164371,0.0000000000,0.0000046279,0.0000210719,0.0009697771,0.0000535789
REST,FOAT,0.0001268675,0.0001755926,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSSL,REST,0.0006339506,0.0001615800,0.0000489356,0.0001243781,0.0000563222,0.0000000000,0.0002520648
FMDY,FSSL,0.0005615726,0.0001385507,0.0001038273,0.0000637898,0.0000832933,0.0000944141,0.0001109707
INST,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSSL,FOAT,0.0003656520,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001974790,0.0001190476
FOAT,REST,0.0001268675,0.0001755926,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMDY,INST,0.0006173995,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004943154
FSSL,FSSL,0.0217074176,0.0029341414,0.0041505798,0.0033904697,0.0039289598,0.0031019125,0.0048839981
FSCI,REST,0.0011362511,0.0002934128,0.0002461500,0.0003119692,0.0001718944,0.0001271253,0.0001196905
FMDY,FMVS,0.0014912378,0.0001338210,0.0000650280,0.0004632611,0.0005328513,0.0001827179,0.0001742314
FSSL,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMDY,REST,0.0004267081,0.0000600016,0.0000982741,0.0001068343,0.0000703632,0.0000447282,0.0000756229
FMVS,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
INST,FSCI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FENG,FOAT,0.0013744123,0.0003424658,0.0000000000,0.0000316256,0.0000000000,0.0006112830,0.0003424658
FOAT,FMVS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMVS,FOAT,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSCI,FSSL,0.0002927860,0.0000000000,0.0000215566,0.0000673811,0.0000768877,0.0000368552,0.0000811363
FSSL,FMVS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSCI,FMVS,0.0004375777,0.0000821014,0.0000339788,0.0000337872,0.0000348708,0.0001712592,0.0000798046
FSSL,FMDY,0.0005615726,0.0001385507,0.0001038273,0.0000637898,0.0000832933,0.0000944141,0.0001109707
FENG,REST,0.0037887854,0.0007153253,0.0007771571,0.0006842720,0.0004361203,0.0005345016,0.0008377980
FSSL,FSCI,0.0002927860,0.0000000000,0.0000215566,0.0000673811,0.0000768877,0.0000368552,0.0000811363
FENG,FENG,0.0197422997,0.0026329919,0.0027705776,0.0028804425,0.0037636621,0.0033241115,0.0046493971
FSCI,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FENG,FSCI,0.0003867897,0.0000506860,0.0000500402,0.0000872386,0.0000538421,0.0000611170,0.0000917988
FOAT,FSCI,0.0007537856,0.0004965803,0.0000881171,0.0000603045,0.0000570780,0.0001325420,0.0000570780
FMVS,FMDY,0.0014912378,0.0001338210,0.0000650280,0.0004632611,0.0005328513,0.0001827179,0.0001742314
INST,FENG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSCI,FOAT,0.0007537856,0.0004965803,0.0000881171,0.0000603045,0.0000570780,0.0001325420,0.0000570780
FMDY,FENG,0.0001293459,0.0000186279,0.0000186418,0.0000477507,0.0000165779,0.0000173283,0.0000193666
FMVS,FSCI,0.0004375777,0.0000821014,0.0000339788,0.0000337872,0.0000348708,0.0001712592,0.0000798046
REST,REST,0.0027589739,0.0013366006,0.0000000000,0.0000000000,0.0013366006,0.0004455335,0.0000000000
INST,FMDY,0.0006173995,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004943154
REST,FMVS,0.0001911828,0.0000000000,0.0000000000,0.0001029336,0.0000000000,0.0000000000,0.0000810220
FSCI,FENG,0.0003867897,0.0000506860,0.0000500402,0.0000872386,0.0000538421,0.0000611170,0.0000917988
FMDY,FOAT,0.0002880181,0.0001200480,0.0000082960,0.0000000000,0.0001406840,0.0000523286,0.0000000000
FOAT,FENG,0.0013744123,0.0003424658,0.0000000000,0.0000316256,0.0000000000,0.0006112830,0.0003424658
FENG,FSSL,0.0002712789,0.0003144654,0.0000000000,0.0000114155,0.0000000000,0.0000179211,0.0000115336
FOAT,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FOAT,FOAT,0.0130706595,0.0012080817,0.0019712795,0.0013694403,0.0024503919,0.0019345589,0.0039437846
FMVS,FENG,0.0011688484,0.0000164371,0.0000000000,0.0000046279,0.0000210719,0.0009697771,0.0000535789
FMDY,FMDY,0.0271359430,0.0026939922,0.0055462569,0.0057448653,0.0064585944,0.0040875301,0.0039948771
INST,FOAT,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMDY,FSCI,0.0003499071,0.0000418998,0.0000447926,0.0000361499,0.0000640037,0.0000857335,0.0000768443
FOAT,FSSL,0.0003656520,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001974790,0.0001190476
FSCI,FMDY,0.0003499071,0.0000418998,0.0000447926,0.0000361499,0.0000640037,0.0000857335,0.0000768443
INST,REST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FOAT,FMDY,0.0002880181,0.0001200480,0.0000082960,0.0000000000,0.0001406840,0.0000523286,0.0000000000
REST,FENG,0.0037887854,0.0007153253,0.0007771571,0.0006842720,0.0004361203,0.0005345016,0.0008377980
REST,FMDY,0.0004267081,0.0000600016,0.0000982741,0.0001068343,0.0000703632,0.0000447282,0.0000756229
INST,FSSL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMVS,FSSL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
INST,FMVS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSSL,FENG,0.0002712789,0.0003144654,0.0000000000,0.0000114155,0.0000000000,0.0000179211,0.0000115336
REST,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FENG,FMDY,0.0001293459,0.0000186279,0.0000186418,0.0000477507,0.0000165779,0.0000173283,0.0000193666
FENG,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
